plate,condition,well,mu_per_hr,R2,doubling_min
CellAI Tutorial,50%,A1,0.2665244568603341,0.9407139814033832,156.04133040364985
CellAI Tutorial,50%,B1,0.3318993199411649,0.9917055637677042,125.30556206312528
CellAI Tutorial,50%,C1,0.2549079130867386,0.9929740884211908,163.1523726744611
CellAI Tutorial,45%,A2,0.3183717332107393,0.9921980979364516,130.62978429076767
CellAI Tutorial,45%,B2,0.1917582172628448,0.9493855623423594,216.88160970223507
CellAI Tutorial,45%,C2,0.1469718148370682,0.9382011429808108,282.97147231734016
CellAI Tutorial,40%,A3,0.2602213501472509,0.9884715907969772,159.82097860172863
CellAI Tutorial,40%,B3,0.2301604251273349,0.9618978404017612,180.69496878356884
CellAI Tutorial,40%,C3,0.2635568189253929,0.98610568165782,157.7983487703636
CellAI Tutorial,35%,A4,0.1899629281462584,0.9500446246124128,218.93130011965368
CellAI Tutorial,35%,B4,0.1928446458526232,0.9503781676596204,215.65976410555857
CellAI Tutorial,35%,C4,0.1794525907398673,0.9445781237868888,231.7538613520686
CellAI Tutorial,30%,A5,0.1880179207190498,0.9528438632114382,221.1961002150523
CellAI Tutorial,30%,B5,0.1840291520348387,0.943790840417582,225.99044973985156
CellAI Tutorial,30%,C5,0.1650027033640442,0.9569532227998748,252.0493906202227
CellAI Tutorial,25%,A6,0.2801536275136594,0.9865508100710446,148.45008862706578
CellAI Tutorial,25%,B6,0.2101247675011519,0.9314943982133372,197.92445854041804
CellAI Tutorial,25%,C6,0.1903840292179933,0.9327888263602522,218.44705674327707
CellAI Tutorial,20%,A7,0.2466968232352054,0.937060623993538,168.5827579301463
CellAI Tutorial,20%,B7,0.2464268027228047,0.9411966714401048,168.7674813537968
CellAI Tutorial,20%,C7,0.2282255475817801,0.9530829470533384,182.22688596549068
CellAI Tutorial,15%,A8,0.3098720572858024,0.9686340028071986,134.2129109603398
CellAI Tutorial,15%,B8,0.2936238099207816,0.9517699274030168,141.6398446870409
CellAI Tutorial,15%,C8,0.506566620181006,0.9660024154183816,82.09943011787124
CellAI Tutorial,10%,A9,0.4905581870741443,0.92877109054024,84.77858881868151
CellAI Tutorial,10%,B9,0.4750329982129386,0.9494941504763396,87.54935128728485
CellAI Tutorial,10%,C9,0.5066527961553252,0.9629183674113356,82.08546592299231
CellAI Tutorial,5%,A10,0.4862586475585908,0.9351394829274722,85.5282081715278
CellAI Tutorial,5%,B10,0.4964698339588076,0.9486710404019456,83.76909932668208
CellAI Tutorial,5%,C10,0.4767951047610578,0.9485357888829036,87.22579241755982
ViNatX Tutorial,50%,A2,0.0633848340970102,0.6380886911223772,656.1322030116092
ViNatX Tutorial,50%,A3,0.018862651566523,0.0558039104137121,2204.824209731341
ViNatX Tutorial,50%,A4,0.0560169326893174,0.3461576525892038,742.4332043358704
ViNatX Tutorial,30%,B2,0.277836686484405,0.954458599431686,149.6880464557768
ViNatX Tutorial,30%,B3,0.2384467829676279,0.9251462474734276,174.41556692858765
