timestamp,A2,A3,A4,B2,B3,B4,C2,C3,C4,D2,D3,D4,E2,E3,E4,F2,F3,F4
2026-03-14T23:30:06.671935+00:00,0.9648,0.8226,0.8224,0.6877,0.5725,0.4976,0.4266,0.399,0.383,0.3611,0.3472,0.3319,0.3272,0.3349,0.3161,0.2758,0.2616,0.2477
2026-03-14T23:20:08.157554+00:00,0.9432,0.7973,0.788,0.6426,0.5354,0.472,0.411,0.3878,0.3741,0.3525,0.3632,0.3449,0.3009,0.3091,0.2837,0.2464,0.2344,0.2161
2026-03-14T23:10:08.292152+00:00,0.9213,0.7732,0.7614,0.6036,0.5063,0.4496,0.4022,0.3834,0.3737,0.3671,0.3387,0.3195,0.2724,0.278,0.2559,0.2096,0.2041,0.19
2026-03-14T23:00:08.585543+00:00,0.9005,0.7553,0.7343,0.5664,0.4855,0.4351,0.409,0.4015,0.3923,0.3433,0.3093,0.2919,0.2456,0.2491,0.2253,0.1816,0.1727,0.1645
2026-03-14T22:50:07.602714+00:00,0.8859,0.7439,0.7259,0.5475,0.4782,0.4348,0.4131,0.3704,0.3593,0.3097,0.274,0.2614,0.2125,0.2112,0.1912,0.1608,0.1545,0.1488
2026-03-14T22:40:07.153035+00:00,0.8781,0.7421,0.719,0.5449,0.4903,0.4461,0.3817,0.3436,0.3299,0.2883,0.2414,0.2263,0.1861,0.1894,0.1723,0.1457,0.1419,0.1369
2026-03-14T22:30:06.855367+00:00,0.8737,0.7586,0.7328,0.5367,0.4567,0.4194,0.3556,0.3016,0.2859,0.2459,0.2155,0.1972,0.1667,0.1699,0.1559,0.137,0.1336,0.1286
2026-03-14T22:20:08.188961+00:00,0.9162,0.8001,0.766,0.4738,0.4146,0.393,0.3161,0.2817,0.2727,0.2234,0.1939,0.186,0.154,0.1566,0.1442,0.1271,0.1263,0.1209
2026-03-14T22:10:12.059014+00:00,0.8697,0.7937,0.7484,0.4622,0.4014,0.3881,0.3034,0.2788,0.2727,0.2157,0.1872,0.1833,0.1432,0.1543,0.1391,0.1186,0.1196,0.1166
